Offer,Description,Coupon Code,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
NEUCARD5,Flat 5% cashback using NeuCard Plus. Terms: Cashback is credited in Zomato Money after delivery; Valid on minimum transaction value of Rs.99; Cashback is applicable over and above other platform offers; Credited cashback has an expiry of 30 days; The offer is not valid on UPI transactions.,,,,Tata Neu Plus HDFC Bank Credit Card,,,,
NEUCARD10,Flat 10% cashback using NeuCard Infinity. Terms: Use code NEUCARD10 to apply the offer; Cashback will be credited in Zomato Money after order delivery; Offer is applicable over and above other platform offers; Cashback will be valid for 30 days.,,,,Tata Neu Infinity HDFC Bank Credit Card,,,,
AXISNEO,Flat Rs.120 OFF using Axis NEO Credit Card. Terms: Offer is valid twice per card per month; Valid on minimum transaction value of Rs.499; Maximum discount Rs.120; Offer is not eligible if the payment is made via UPI-linked Neo RuPay Credit Card.,,,,Axis Bank Neo Credit Card,,,,
IDFCSWYP,10% OFF up to Rs.100 using IDFC FIRST SWYP Credit Card. Terms: Offer only applicable on IDFC FIRST SWYP Credit Card; Offer valid twice per card per month; Valid on minimum transaction value of Rs.299; Maximum discount Rs.100.,,,,IDFC First SWYP Credit Card,,,,
Flat 100 OFF using Yes Bank First & Glory Debit Card,Offer applicable on Yes Bank First & Glory Debit Card; Offer valid once per card per month; Valid on minimum transaction value of 599; Maximum Instant Discount: 100,,,,,Yes Apex International Debit card,,,
Flat 100 OFF using Yes Bank First & Glory Debit Card,Offer applicable on Yes Bank First & Glory Debit Card; Offer valid once per card per month; Valid on minimum transaction value of 599; Maximum Instant Discount: 100,,,,,Yes First Debit Card,,,
Flat 100 OFF using Yes Bank First & Glory Debit Card,Offer applicable on Yes Bank First & Glory Debit Card; Offer valid once per card per month; Valid on minimum transaction value of 599; Maximum Instant Discount: 100,,,,,Yes Glory Debit Card,,,
10% OFF up to Rs.150 using Standard Chartered DigiSmart Credit Card,Applicable using select Standard Chartered DigiSmart Credit Card; Offer valid five times per card per month; Maximum discount: Rs.150,,,,Standard Chartered Digismart Credit Card,,,,
20% off up to Rs.150 using Bandhan Bank Debit Cards,20% OFF up to Rs.150 using Bandhan Bank Debit Cards. Terms: Offer applicable on Debit Cards only; Valid on minimum transaction value of Rs.299; Offer applicable twice per card per month; Maximum instant discount Rs.150.,,,,,Bandhan Bank Mastercard Platinum Debit Card,,,
20% off up to Rs.150 using Bandhan Bank Debit Cards,20% OFF up to Rs.150 using Bandhan Bank Debit Cards. Terms: Offer applicable on Debit Cards only; Valid on minimum transaction value of Rs.299; Offer applicable twice per card per month; Maximum instant discount Rs.150.,,,,,Bandhan Bank Mastercard Titanium Debit Card,,,
20% off up to Rs.150 using Bandhan Bank Debit Cards,20% OFF up to Rs.150 using Bandhan Bank Debit Cards. Terms: Offer applicable on Debit Cards only; Valid on minimum transaction value of Rs.299; Offer applicable twice per card per month; Maximum instant discount Rs.150.,,,,,Bandhan Bank Visa Platinum Debit Card,,,
20% off up to Rs.150 using Bandhan Bank Debit Cards,20% OFF up to Rs.150 using Bandhan Bank Debit Cards. Terms: Offer applicable on Debit Cards only; Valid on minimum transaction value of Rs.299; Offer applicable twice per card per month; Maximum instant discount Rs.150.,,,,,Bandhan Bank RuPay Platinum Debit Card,,,
20% off up to Rs.150 using Bandhan Bank Debit Cards,20% OFF up to Rs.150 using Bandhan Bank Debit Cards. Terms: Offer applicable on Debit Cards only; Valid on minimum transaction value of Rs.299; Offer applicable twice per card per month; Maximum instant discount Rs.150.,,,,,Bandhan Bank Visa Classic Debit Card,,,
20% off up to Rs.150 using Bandhan Bank Debit Cards,20% OFF up to Rs.150 using Bandhan Bank Debit Cards. Terms: Offer applicable on Debit Cards only; Valid on minimum transaction value of Rs.299; Offer applicable twice per card per month; Maximum instant discount Rs.150.,,,,,Bandhan Bank RuPay Classic Debit Card,,,
20% off up to Rs.150 using Bandhan Bank Debit Cards,20% OFF up to Rs.150 using Bandhan Bank Debit Cards. Terms: Offer applicable on Debit Cards only; Valid on minimum transaction value of Rs.299; Offer applicable twice per card per month; Maximum instant discount Rs.150.,,,,,Bandhan Bank Avni Debit Card,,,
20% off up to Rs.150 using Bandhan Bank Debit Cards,20% OFF up to Rs.150 using Bandhan Bank Debit Cards. Terms: Offer applicable on Debit Cards only; Valid on minimum transaction value of Rs.299; Offer applicable twice per card per month; Maximum instant discount Rs.150.,,,,,Bandhan Bank PMJDY -Pradhan Mantri Jan-Dhan Yojana Debit Card,,,
20% off up to Rs.150 using Bandhan Bank Debit Cards,20% OFF up to Rs.150 using Bandhan Bank Debit Cards. Terms: Offer applicable on Debit Cards only; Valid on minimum transaction value of Rs.299; Offer applicable twice per card per month; Maximum instant discount Rs.150.,,,,,Bandhan Bank Elite Debit Card,,,
20% off up to Rs.150 using Bandhan Bank Debit Cards,20% OFF up to Rs.150 using Bandhan Bank Debit Cards. Terms: Offer applicable on Debit Cards only; Valid on minimum transaction value of Rs.299; Offer applicable twice per card per month; Maximum instant discount Rs.150.,,,,,Bandhan Bank Elite Plus Debit Card,,,
