Offer,Description,Eligible Credit Cards,Eligible Debit Cards
EXTRA 10% Cashback  HSBC Live+ Credit Card,Pay using HSBC Live+ Credit Card & get an additional 10% cashback (1000 monthly limit). Terms: Applicable only on HSBC Live+ Credit Card; 10% accelerated cashback 1000 a month on all dining food delivery and grocery spends; Cashback earned will be credited to your Credit Card within 45 days of the card statement date; Other T&Cs may apply.,HSBC Live+ Credit Card,
Axis Bank Delight Debit Cards,Save 150 on this order using Axis Bank Delight Debit Cards. Maximum discount up to 150 on orders above 400. Terms: Applicable thrice per user per month; Valid only on Axis Bank Delight Debit Cards; Other T&Cs may apply; Offer valid till Dec 31 2025 11:59 PM.,,Axis Bank Delight Debit Card
EXTRA upto 100 OFF  YES Bank Credit Cards,Pay using YES Bank Credit Cards & get an additional 7.5% up to 100 discount on transactions above 399. Terms: Applicable once per user per month; Valid only on YES Bank Credit Cards; Other T&Cs may apply.,Yes ELITE + Credit Card,
EXTRA upto 100 OFF  YES Bank Credit Cards,Pay using YES Bank Credit Cards & get an additional 7.5% up to 100 discount on transactions above 399. Terms: Applicable once per user per month; Valid only on YES Bank Credit Cards; Other T&Cs may apply.,Yes Prosperity Reward Plus Credit Card,
EXTRA upto 100 OFF  YES Bank Credit Cards,Pay using YES Bank Credit Cards & get an additional 7.5% up to 100 discount on transactions above 399. Terms: Applicable once per user per month; Valid only on YES Bank Credit Cards; Other T&Cs may apply.,Yes Bank Card Anq Phi Credit  Card,
EXTRA upto 100 OFF  YES Bank Credit Cards,Pay using YES Bank Credit Cards & get an additional 7.5% up to 100 discount on transactions above 399. Terms: Applicable once per user per month; Valid only on YES Bank Credit Cards; Other T&Cs may apply.,YES Bank Paisabazaar Paisasave Credit Card,
EXTRA upto 100 OFF  YES Bank Credit Cards,Pay using YES Bank Credit Cards & get an additional 7.5% up to 100 discount on transactions above 399. Terms: Applicable once per user per month; Valid only on YES Bank Credit Cards; Other T&Cs may apply.,YES Bank Marquee Credit Card,
EXTRA upto 100 OFF  YES Bank Credit Cards,Pay using YES Bank Credit Cards & get an additional 7.5% up to 100 discount on transactions above 399. Terms: Applicable once per user per month; Valid only on YES Bank Credit Cards; Other T&Cs may apply.,Yes Prosperity Cashback Plus Credit Card,
EXTRA upto 100 OFF  YES Bank Credit Cards,Pay using YES Bank Credit Cards & get an additional 7.5% up to 100 discount on transactions above 399. Terms: Applicable once per user per month; Valid only on YES Bank Credit Cards; Other T&Cs may apply.,Yes EMI Credit Card,
EXTRA upto 100 OFF  YES Bank Credit Cards,Pay using YES Bank Credit Cards & get an additional 7.5% up to 100 discount on transactions above 399. Terms: Applicable once per user per month; Valid only on YES Bank Credit Cards; Other T&Cs may apply.,Yes Reserv Credit Card,
EXTRA upto 100 OFF  YES Bank Credit Cards,Pay using YES Bank Credit Cards & get an additional 7.5% up to 100 discount on transactions above 399. Terms: Applicable once per user per month; Valid only on YES Bank Credit Cards; Other T&Cs may apply.,Yes Prosperity Cashback Credit Card,
EXTRA upto 100 OFF  YES Bank Credit Cards,Pay using YES Bank Credit Cards & get an additional 7.5% up to 100 discount on transactions above 399. Terms: Applicable once per user per month; Valid only on YES Bank Credit Cards; Other T&Cs may apply.,Yes Bank BYOC Credit Card,
EXTRA upto 100 OFF  YES Bank Credit Cards,Pay using YES Bank Credit Cards & get an additional 7.5% up to 100 discount on transactions above 399. Terms: Applicable once per user per month; Valid only on YES Bank Credit Cards; Other T&Cs may apply.,Yes Bank Finbooster Credit Card,
EXTRA upto 100 OFF  YES Bank Credit Cards,Pay using YES Bank Credit Cards & get an additional 7.5% up to 100 discount on transactions above 399. Terms: Applicable once per user per month; Valid only on YES Bank Credit Cards; Other T&Cs may apply.,Yes Bank Wellness Credit Card,
EXTRA upto 100 OFF  YES Bank Credit Cards,Pay using YES Bank Credit Cards & get an additional 7.5% up to 100 discount on transactions above 399. Terms: Applicable once per user per month; Valid only on YES Bank Credit Cards; Other T&Cs may apply.,Yes Private Prime Credit Card,
EXTRA upto 100 OFF  YES Bank Credit Cards,Pay using YES Bank Credit Cards & get an additional 7.5% up to 100 discount on transactions above 399. Terms: Applicable once per user per month; Valid only on YES Bank Credit Cards; Other T&Cs may apply.,Yes Bank Wellness Plus Credit Card,
EXTRA upto 100 OFF  YES Bank Credit Cards,Pay using YES Bank Credit Cards & get an additional 7.5% up to 100 discount on transactions above 399. Terms: Applicable once per user per month; Valid only on YES Bank Credit Cards; Other T&Cs may apply.,Yes Prosperity Reward Credit Card,
EXTRA upto 100 OFF  YES Bank Credit Cards,Pay using YES Bank Credit Cards & get an additional 7.5% up to 100 discount on transactions above 399. Terms: Applicable once per user per month; Valid only on YES Bank Credit Cards; Other T&Cs may apply.,Yes Bank Anq Pi Credit Card,
EXTRA upto 100 OFF  YES Bank Credit Cards,Pay using YES Bank Credit Cards & get an additional 7.5% up to 100 discount on transactions above 399. Terms: Applicable once per user per month; Valid only on YES Bank Credit Cards; Other T&Cs may apply.,YES Bank Rio RuPay Credit Card,
EXTRA upto 100 OFF  YES Bank Credit Cards,Pay using YES Bank Credit Cards & get an additional 7.5% up to 100 discount on transactions above 399. Terms: Applicable once per user per month; Valid only on YES Bank Credit Cards; Other T&Cs may apply.,Yes Prosperity Edge Credit Card,
AXISREWARDS,Save Rs.150 on this order using Axis Bank Rewards Credit Cards. Flat Rs.150 discount on orders above Rs.500. Terms: Applicable twice per user per month; Valid only on Axis Bank Rewards Credit Cards (including recently migrated ones); Other T&Cs may apply; Offer valid till Oct 31 2025 11:59 PM.,Axis Bank Rewards Credit Card,
AXIS200,Save Rs.200 on this order using Axis Bank Select Credit Cards. Flat Rs.200 discount on orders above Rs.1000. Terms: Applicable twice per user per month; Valid only on Axis Bank Select Credit Cards; Other T&Cs may apply; Offer valid till Oct 31 2025 11:59 PM.,Axis Bank Select Credit Card,
AXIS120,Save Rs.120 on this order using Axis Bank MY ZONE Credit Cards. Flat Rs.120 discount on orders above Rs.500. Terms: Applicable twice per user per month; Valid only on Axis Bank MY ZONE Credit Cards; Other T&Cs may apply; Offer valid till Oct 31 2025 11:59 PM.,Axis Bank MY Zone Credit Card,
AXIS150,Save Rs.150 on this order using Axis Bank Delight Debit Cards. Maximum discount up to Rs.150 on orders above Rs.400. Terms: Applicable thrice per user per month; Valid only on Axis Bank Delight Debit Cards; Other T&Cs may apply; Offer valid till Oct 31 2025 11:59 PM.,Axis Bank Delight Debit Card,
VISACANARACC100,Save Rs.100 on this order using Canara Bank Visa Credit Cards. Maximum discount up to Rs.100 on orders above Rs.399. Terms: Applicable once per user per month; Valid only on Canara Bank Visa Credit Cards; Other T&Cs may apply; Offer valid till Oct 31 2025 11:59 PM.,Canara Bank Visa Gold Credit Card (Visa),
VISACANARACC100,Save Rs.100 on this order using Canara Bank Visa Credit Cards. Maximum discount up to Rs.100 on orders above Rs.399. Terms: Applicable once per user per month; Valid only on Canara Bank Visa Credit Cards; Other T&Cs may apply; Offer valid till Oct 31 2025 11:59 PM.,Canara Bank Visa Platinum Credit Card (Visa),
VISACANARACC100,Save Rs.100 on this order using Canara Bank Visa Credit Cards. Maximum discount up to Rs.100 on orders above Rs.399. Terms: Applicable once per user per month; Valid only on Canara Bank Visa Credit Cards; Other T&Cs may apply; Offer valid till Oct 31 2025 11:59 PM.,Canara Bank Visa Corporate Credit Card (Visa),
VISACANARACC100,Save Rs.100 on this order using Canara Bank Visa Credit Cards. Maximum discount up to Rs.100 on orders above Rs.399. Terms: Applicable once per user per month; Valid only on Canara Bank Visa Credit Cards; Other T&Cs may apply; Offer valid till Oct 31 2025 11:59 PM.,Canara Bank VISA Classic Credit Card (Visa),
VISACANARACC100,Save Rs.100 on this order using Canara Bank Visa Credit Cards. Maximum discount up to Rs.100 on orders above Rs.399. Terms: Applicable once per user per month; Valid only on Canara Bank Visa Credit Cards; Other T&Cs may apply; Offer valid till Oct 31 2025 11:59 PM.,Canara Bank Visa Gold Secured Credit Card (Visa),
